Data;1157 - Taxa média flutuantes DI de depósitos a prazo (CDB/RDB) - Total - % a.d.
28/03/2022;0,0402
29/03/2022;0,0347
30/03/2022;0,0367
31/03/2022;0,0369
01/04/2022;0,0364
04/04/2022;0,0378
05/04/2022;0,0418
06/04/2022;0,0387
07/04/2022;0,0415
08/04/2022;0,0388
11/04/2022;0,0418
12/04/2022;0,0384
13/04/2022;0,0356
14/04/2022;0,0393
18/04/2022;0,0413
19/04/2022;0,0366
20/04/2022;0,0343
22/04/2022;0,0362
25/04/2022;0,0358
26/04/2022;0,0357
27/04/2022;0,0369
28/04/2022;0,0396
29/04/2022;0,0381
02/05/2022;0,0386
03/05/2022;0,0383
04/05/2022;0,0392
05/05/2022;0,0421
06/05/2022;0,0410
09/05/2022;0,0427
10/05/2022;0,0416
11/05/2022;0,0397
12/05/2022;0,0410
13/05/2022;0,0425
16/05/2022;0,0448
17/05/2022;0,0420
18/05/2022;0,0362
19/05/2022;0,0414
20/05/2022;0,0374
23/05/2022;0,0412
24/05/2022;0,0457
25/05/2022;0,0451
26/05/2022;0,0384
27/05/2022;0,0429
30/05/2022;0,0396
31/05/2022;0,0406
01/06/2022;0,0424
02/06/2022;0,0454
03/06/2022;0,0421
06/06/2022;0,0448
07/06/2022;0,0426
08/06/2022;0,0412
09/06/2022;0,0387
10/06/2022;0,0417
13/06/2022;0,0422
14/06/2022;0,0455
15/06/2022;0,0442
17/06/2022;0,0433
20/06/2022;0,0457
21/06/2022;0,0397
22/06/2022;0,0391
23/06/2022;0,0401
24/06/2022;0,0416
27/06/2022;0,0419
28/06/2022;0,0410
29/06/2022;0,0405
30/06/2022;0,0429
01/07/2022;0,0414
04/07/2022;0,0458
05/07/2022;0,0428
06/07/2022;0,0430
07/07/2022;0,0433
08/07/2022;0,0401
11/07/2022;0,0466
12/07/2022;0,0395
13/07/2022;0,0413
14/07/2022;0,0413
15/07/2022;0,0410
18/07/2022;0,0424
19/07/2022;0,0399
20/07/2022;0,0408
21/07/2022;0,0404
22/07/2022;0,0398
25/07/2022;0,0462
26/07/2022;0,0404
27/07/2022;0,0413
28/07/2022;0,0404
29/07/2022;0,0423
01/08/2022;0,0488
02/08/2022;0,0397
03/08/2022;0,0463
04/08/2022;0,0495
05/08/2022;0,0439
08/08/2022;0,0489
09/08/2022;0,0443
10/08/2022;0,0422
11/08/2022;0,0436
12/08/2022;0,0415
15/08/2022;0,0498
16/08/2022;0,0415
17/08/2022;0,0412
18/08/2022;0,0479
19/08/2022;0,0419
22/08/2022;0,0442
23/08/2022;0,0438
24/08/2022;0,0425
25/08/2022;0,0484
26/08/2022;0,0424
29/08/2022;0,0440
30/08/2022;0,0451
31/08/2022;0,0438
01/09/2022;0,0426
02/09/2022;0,0425
05/09/2022;0,0439
06/09/2022;0,0429
08/09/2022;0,0498
09/09/2022;0,0413
12/09/2022;0,0494
13/09/2022;0,0413
14/09/2022;0,0503
15/09/2022;0,0481
16/09/2022;0,0426
19/09/2022;0,0439
20/09/2022;0,0444
21/09/2022;0,0466
22/09/2022;0,0411
23/09/2022;0,0435
26/09/2022;0,0493
27/09/2022;0,0409
28/09/2022;0,0425
29/09/2022;0,0425
30/09/2022;0,0446
03/10/2022;0,0450
04/10/2022;0,0449
05/10/2022;0,0450
06/10/2022;0,0461
07/10/2022;0,0418
10/10/2022;0,0484
11/10/2022;0,0421
13/10/2022;0,0499
14/10/2022;0,0456
17/10/2022;0,0457
18/10/2022;0,0413
19/10/2022;0,0451
20/10/2022;0,0481
21/10/2022;0,0427
24/10/2022;0,0481
25/10/2022;0,0476
26/10/2022;0,0487
27/10/2022;0,0481
28/10/2022;0,0451
31/10/2022;0,0459
01/11/2022;0,0485
03/11/2022;0,0500
04/11/2022;0,0496
07/11/2022;0,0486
08/11/2022;0,0497
09/11/2022;0,0497
10/11/2022;0,0479
11/11/2022;0,0454
14/11/2022;0,0501
16/11/2022;0,0480
17/11/2022;0,0481
18/11/2022;0,0496
21/11/2022;0,0497
22/11/2022;0,0496
23/11/2022;0,0484
24/11/2022;0,0491
25/11/2022;0,0449
28/11/2022;0,0490
29/11/2022;0,0449
30/11/2022;0,0472
01/12/2022;0,0486
02/12/2022;0,0482
05/12/2022;0,0491
06/12/2022;0,0489
07/12/2022;0,0499
08/12/2022;0,0482
09/12/2022;0,0494
12/12/2022;0,0487
13/12/2022;0,0497
14/12/2022;0,0499
15/12/2022;0,0455
16/12/2022;0,0491
19/12/2022;0,0449
20/12/2022;0,0453
21/12/2022;0,0456
22/12/2022;0,0454
23/12/2022;0,0457
26/12/2022;0,0478
27/12/2022;0,0435
28/12/2022;0,0455
29/12/2022;0,0469
30/12/2022;0,0493
02/01/2023;0,0477
03/01/2023;0,0472
04/01/2023;0,0504
05/01/2023;0,0494
06/01/2023;0,0490
09/01/2023;0,0482
10/01/2023;0,0482
11/01/2023;0,0482
12/01/2023;0,0477
13/01/2023;0,0496
16/01/2023;0,0478
17/01/2023;0,0492
18/01/2023;0,0463
19/01/2023;0,0463
23/01/2023;0,0495
24/01/2023;0,0464
25/01/2023;0,0498
26/01/2023;0,0460
27/01/2023;0,0455
30/01/2023;0,0488
31/01/2023;0,0462
01/02/2023;0,0488
02/02/2023;0,0492
03/02/2023;0,0486
06/02/2023;0,0496
07/02/2023;0,0498
08/02/2023;0,0506
09/02/2023;0,0458
10/02/2023;0,0493
13/02/2023;0,0463
14/02/2023;0,0488
15/02/2023;0,0500
16/02/2023;0,0453
17/02/2023;0,0454
22/02/2023;0,0452
23/02/2023;0,0453
24/02/2023;0,0449
Fonte;Sisbacen PESP300
